decision,kind,status,url,titleLength,descriptionLength,h1Count,jsonLdCount,imageCount,imagesMissingAlt,issues,canonical,title,description
strengthen_seo,home,200,https://moonn.ru/,66,122,5,2,60,56,images_missing_alt;multiple_h1,https://moonn.ru/,Татьяна Мунн — психолог МГУ и эксперт по эмоциональному интеллекту,"Татьяна Мунн, психолог МГУ: консультации в Москве и онлайн, эмоциональный интеллект, подростки, экзамены, отзывы и запись."
strengthen_seo,other,200,https://moonn.ru/abuse_gaslight,42,121,1,2,12,12,images_missing_alt,https://moonn.ru/abuse_gaslight,Абьюз и газлайтинг | психолог Татьяна Мунн,"Абьюз и газлайтинг: материал Татьяны Мунн, психолога МГУ, о практической психологии, эмоциях, отношениях и саморегуляции."
keep_out_of_index_or_remove_from_sitemap,other,200,https://moonn.ru/aromatherapy,119,130,1,2,20,20,images_missing_alt;long_title;meta_noindex;robots_txt_blocked,https://moonn.ru/aromatherapy,Ароматерапия и Эфирные масла. Быстрая Психология: Использование ароматов в обретении внутренней гармонии и благополучия,Использование аромамасел в Психологии и Психотерапии. Подробное описание Ароматерапии. Татьяна Мунн - Дипломированный психолог МГУ
strengthen_seo,article,200,https://moonn.ru/article_diary_of_emotions,29,111,1,2,15,15,images_missing_alt,https://moonn.ru/article_diary_of_emotions,Дневник эмоций | Татьяна Мунн,"Дневник эмоций: авторская статья Татьяны Мунн, психолога МГУ, о поведении, эмоциях, отношениях и саморегуляции."
strengthen_seo,article,200,https://moonn.ru/article_femininity,41,123,1,2,9,9,images_missing_alt,https://moonn.ru/article_femininity,Женственность в отношениях | Татьяна Мунн,"Женственность в отношениях: авторская статья Татьяны Мунн, психолога МГУ, о поведении, эмоциях, отношениях и саморегуляции."
strengthen_seo,article,200,https://moonn.ru/article_gadget_addiction,49,131,1,2,20,20,images_missing_alt,https://moonn.ru/article_gadget_addiction,Зависимость подростков от гаджетов | Татьяна Мунн,"Зависимость подростков от гаджетов: авторская статья Татьяны Мунн, психолога МГУ, о поведении, эмоциях, отношениях и саморегуляции."
strengthen_seo,article,200,https://moonn.ru/article_toxic_job,42,124,1,2,3,3,images_missing_alt,https://moonn.ru/article_toxic_job,Негативные эмоции на работе | Татьяна Мунн,"Негативные эмоции на работе: авторская статья Татьяны Мунн, психолога МГУ, о поведении, эмоциях, отношениях и саморегуляции."
strengthen_seo,article,200,https://moonn.ru/articles/eq-dlya-rukovoditeley,51,133,1,2,3,3,images_missing_alt,https://moonn.ru/articles/eq-dlya-rukovoditeley,Эмоциональный интеллект руководителя | Татьяна Мунн,"Эмоциональный интеллект руководителя: авторская статья Татьяны Мунн, психолога МГУ, о поведении, эмоциях, отношениях и саморегуляции."
strengthen_seo,other,200,https://moonn.ru/baza-znaniy-emocionalnyy-intellekt-psihologiya,64,156,1,2,6,6,images_missing_alt,https://moonn.ru/baza-znaniy-emocionalnyy-intellekt-psihologiya,База знаний по психологии и эмоциональному интеллекту | психолог,"База знаний по психологии и эмоциональному интеллекту: материал Татьяны Мунн, психолога МГУ, о практической психологии, эмоциях, отношениях и саморегуляции."
strengthen_seo,other,200,https://moonn.ru/eintellect,47,126,1,2,6,6,images_missing_alt,https://moonn.ru/eintellect,Эмоциональный интеллект | психолог Татьяна Мунн,"Эмоциональный интеллект: материал Татьяны Мунн, психолога МГУ, о практической психологии, эмоциях, отношениях и саморегуляции."
